ID,Card name,Art,Card,Element,Value,Color,Set,Comment
31,CASE OF THE MISSING COINS,CASE OF THE MISSING COINS card image,Card-Jitsu Cards full 31,Fire,Burbank 2,Blue,1,"""You totally saved my feathers there,"" sighs the relieved rookie agent . ""I thought I was never going to get back into the vault after I closed the door! Oops, I guess!"""
32,CRATES AND BOXES,CRATES AND BOXES card image,Card-Jitsu Cards full 32,Fire,Burbank 5,Blue,1,"""EVERYONE MAKE WAY FOR BOXMAN!"" shouts the penguin in the superhero mask. ""I shall put all evildoers into my superboxes for shipment to 'No More Bad Guys Land'!"""
33,ANVIL SMITH,ANVIL SMITH card image,Card-Jitsu Cards full 33,Fire,Burbank 4,Green,1,"The residents of Club Penguin appreciate a good anvil – that's why so many are sent to the Coffee Shop every day. ""I'd say I make about 30 on a good day,"" replies one anvil smith."
34,HALLOWEEN,HALLOWEEN card image,Card-Jitsu Cards full 34,Fire,Burbank 6,Orange,1,"""Check it out! I'm a ghost bunny professor!"" explains the orange penguin. ""I want to have the coolest costume for this solar eclipse party at my buddy's igloo. Do you think I'll win?"""
35,KNIGHT,KNIGHT card image,Card-Jitsu Cards full 35,Fire,Burbank 3,Purple,1,"""Let's pretend to be knights and princesses. I'll be the Knight of Light and you can be the Princess of Power,"" says the green penguin. ""Oh no! Here comes a dragon..."""
36,BLACK PUFFLE,BLACK PUFFLE card image,Card-Jitsu Cards full 36,Fire,Burbank 5,Red,1,"""Turbo is my black puffle. It rolls its eyes a lot,"" replies the penguin as he feeds his pet a flipper full of Puffle O's. ""It really gets fired up when I take it out for a walk."""
37,MEDIEVAL PARTY,MEDIEVAL PARTY card image,Card-Jitsu Cards full 37,Fire,Burbank 4,Yellow,1,"""For this event we collaborated with Penguin Style's fashion designers to make an epic party ,"" says one planner, dressed in a knight's garb. ""I still wear my party clothes today."""
38,BLUE PUFFLE,BLUE PUFFLE card image,Card-Jitsu Cards full 38,Snow,Burbank 2,Blue,1,"""As an employee, I value the blue puffles,"" replies the staff member. ""They are loyal, easy to take care of, and fun to play ball with. You can't go wrong with a blue puffle."""
39,PINK PUFFLE,PINK PUFFLE card image,Card-Jitsu Cards full 39,Snow,Burbank 5,Blue,1,"""This is my pink puffle, Cutie! I named it that because I think its eyes are sooo adorable,"" continues the ballet dancer. ""Plus it matches my outfit!"""
40,GREEN PUFFLE,GREEN PUFFLE card image,Card-Jitsu Cards full 40,Snow,Burbank 4,Green,1,"""My puffle Greenie is the silliest puffle I've ever met, which is why we get along so well,"" she giggles. ""I love it when it plays on its unicycle – it's so funny!"""
41,PUFFLE FURNITURE,PUFFLE FURNITURE card image,Card-Jitsu Cards full 41,Snow,Burbank 6,Orange,1,"""No igloo would be complete without accessories for your cute little puffle pets,"" the decorator explains. ""Puffles love having furniture just as much as penguins!"""
42,PURPLE PUFFLE,PURPLE PUFFLE card image,Card-Jitsu Cards full 42,Snow,Burbank 3,Purple,1,"""Oh! Look at that one over there blowing bubbles! That one is sooo cute – it should be my pet,"" she exclaims. ""I'll name it Princess Purple because I love princesses and purple!"""
43,RED PUFFLE,RED PUFFLE card image,Card-Jitsu Cards full 43,Snow,Burbank 5,Red,1,"""This is my sidekick on my adventures. I named it Fireball because it's so fast when it goes flying out of its cannon like whoooosh ! Look, it's going again!"""
44,YELLOW PUFFLE,YELLOW PUFFLE card image,Card-Jitsu Cards full 44,Snow,Burbank 4,Yellow,1,"""I knew I wanted a yellow puffle from the moment I saw it in the Forest at Halloween ,"" she replies. ""My puffle Lemon likes to paint just like I do."""
45,SUMMER PARTY [1],SUMMER PARTY card image,Card-Jitsu Cards full 45,Water,Burbank 2,Blue,1,"""The Summer Party sticks out the most in my mind as the one to beat,"" proclaims one penguin. ""You can't top great buddies acting crazy and having fun."""
46,GRAY FISH,GRAY FISH card image,Card-Jitsu Cards full 46,Water,Burbank 4,Green,1,"""You ain't gonna get a bite without the Flashing Lure , sonny,"" the experienced brown fisherman explains. ""Them gray ones are only attracted to real bright light."""
47,O BERRY,O BERRY card image,Card-Jitsu Cards full 47,Water,Burbank 6,Orange,1,"""These berries grow on shrubs in the forest clearing,"" explains our nature guide. ""Puffles love to eat them because of their tart sweetness."""
48,LIFE RING,LIFE RING card image,Card-Jitsu Cards full 48,Water,Burbank 3,Purple,1,"""Having a life ring handy is really important to us,"" the lifeguard continues as she keeps watch over the Pool. ""Hey, that crab is knocking on the glass over there!"""
49,JOLLY ROGER FLAG,JOLLY ROGER FLAG card image,Card-Jitsu Cards full 49,Water,Burbank 5,Red,1,"""Arrr, this be the black flag atop me ship,"" growls Rockhopper as we tour the Migrator. ""I be liking to name things, so I be callin' this one the Jolly Roger."""
50,COINS,COINS card image,Card-Jitsu Cards full 50,Water,Burbank 5,Yellow,1,"""Coins are the widely accepted monetary system around the island,"" explains the scholarly account penguin. ""That means penguins use them to buy stuff."""
51,GARY THE GADGET GUY,GARY THE GADGET GUY card image,Card-Jitsu Cards full 51,Fire,Burbank 6,Blue,1,"""I have been conducting research on the combustion of hydrogen and oxygen,"" Gary continues. ""Jet pack fuel is important on the island as it allows penguins to adventure."""
52,BUOYS,BUOYS card image,Card-Jitsu Cards full 52,Fire,Burbank 5,Green,1,"""I'm trying to find the elusive Boo-Eee #4,"" replies the penguin sleuth. ""They're hidden all over, and I think they're supposed to protect the island from bad weather or something."""
53,YARR,YARR card image,Card-Jitsu Cards full 53,Fire,Burbank 4,Orange,1,"""Me beloved best buddy Yarr has been by me side e'er since we met on Rockhopper Island ,"" the burly captain replies. ""It be a loyal friend, keepin' watch me Crow's Nest."""
54,KLUTZY,KLUTZY card image,Card-Jitsu Cards full 54,Fire,Burbank 8,Purple,1,"Klutzy: ""CLICK CLICK CLICK."" Crab Translator 3000 : ""I'm hungry."" Klutzy: ""CLA-CLICKA-CLICK CLICK-CLICK."" Crab Translator 3000: ""I'm still hungry."""
55,HERBERT P. BEAR,HERBERT P. BEAR card image,Card-Jitsu Cards full 55,Fire,Burbank 3,Red,1,"""Why hello there, penguin. It is I, Herbert P. Bear, Esquire. Aren't you fortunate to have discovered my magnificent card. I am confident that you will treasure this picture."""
56,HOT SAUCE,HOT SAUCE card image,Card-Jitsu Cards full 56,Fire,Burbank 7,Yellow,1,"""It is I, the alien Dojo master, hai ya! I will reveal to you the hidden ingredient of my pizza masterpieces... the amazing Hot Sauce – guaranteed to spice up any dish!"""
57,SNOW CASTLE,SNOW CASTLE card image,Card-Jitsu Cards full 57,Snow,Burbank 6,Blue,1,"""I think it took like a day and a half to make this,"" recalls one snow artist. ""I don't really remember. I just know that we had to test to make sure penguins could walk on it."""
58,AUNT ARCTIC,AUNT ARCTIC card image,Card-Jitsu Cards full 58,Snow,Burbank 7,Green,1,"""Hello! Aloha! Oi! I am so exhilarated to have my photograph taken for such a prestigious event. This is my desk, where I read the letters I receive and wrestle with writer's block."""
59,CHRISTMAS CAROLS,CHRISTMAS CAROLS card image,Card-Jitsu Cards full 59,Snow,Burbank 4,Orange,1,"""Ooooh eee oooooh!"" sing the carolers as they practice their songs to serenade the town. During the holidays, the trees are trimmed with fresh snow and holiday cheer echoes throughout the island."
60,BETA PARTY,BETA PARTY card image,Card-Jitsu Cards full 60,Snow,Burbank 8,Orange,1,"""We didn't have many decorations then – just a simple banner,"" explains a penguin wearing a party hat . ""But we wanted to celebrate our hard work somehow, and penguins love a good party!"""
61,HIDDEN ITEMS,HIDDEN ITEMS card image,Card-Jitsu Cards full 61,Snow,Burbank 6,Purple,1,"""I found the hidden viking helmet !"" he says, leafing through the latest issue of Penguin Style . ""I'm totally going to add this to my pirate policeman outfit. What do you think?"""
62,SECRET AGENT,SECRET AGENT card image,Card-Jitsu Cards full 62,Snow,Burbank 3,Red,1,"""One rule we have about being a secret agent is that you don't talk about secret agents,"" says the tight-billed penguin in the suit. ""No other comments at this time."""
63,SNOW SHOVEL,SNOW SHOVEL card image,Card-Jitsu Cards full 63,Snow,Burbank 5,Yellow,1,"""I never go anywhere without my trusty shovel. I know a lot of penguins prefer their drills, but I get a sense of reward using my shovel to move the snow around."""
64,THE MIGRATOR,THE MIGRATOR card image,Card-Jitsu Cards full 64,Water,Burbank 6,Blue,1,"""Arrr mateys! Ye be gazin' at me good ship, the Migrator! It be a mighty ship of vim and vigor that has lasted many tumbles,"" replies Rockhopper. ""Nary a better boat there be."""
65,CAPTAIN ROCKHOPPER,CAPTAIN ROCKHOPPER card image,Card-Jitsu Cards full 65,Water,Burbank 5,Green,1,"""Arrr... ye be gazin' at me glorious card. Ahhhh, a sight for sore eyes this fantastic photo be. It be remindin' me of many voyages across the seas with treasures seized!"""
66,ICE CREAM,ICE CREAM card image,Card-Jitsu Cards full 66,Water,Burbank 4,Orange,1,"""There I am eating ice cream at the Beach again!"" exclaims the penguin as she gets her beach towel ready. ""Yes, it's true, ice cream and the Beach are a great pair."""
67,MULLET,MULLET card image,Card-Jitsu Cards full 67,Water,Burbank 8,Purple,1,"""Penguins from far and wide come to this ice fishing hole to see if they can catch this legendary big fish. Someone told me I need bigger bait though, so I brought a pizza."""
68,UNDERGROUND FLOOD,UNDERGROUND FLOOD card image,Card-Jitsu Cards full 68,Water,Burbank 3,Red,1,"""Oh no! That crab over there tapped the glass and now there's a leak and there's water pouring out and there's going to be water everywhere what are we going to do now!?"""
69,FLUFFY THE FISH,FLUFFY THE FISH card image,Card-Jitsu Cards full 69,Water,Burbank 4,Yellow,1,"""Here fishy fishy fishy!"" calls the red penguin. ""I don't think Fluffy has ears,"" his friend replies. ""Neither do we, but I can hear you..."" ""Hmmm. Guess you've got a point there."""
70,SHARK,SHARK card image,Card-Jitsu Cards full 70,Water,Burbank 7,Yellow,1,"""I know there's a big fish down there, but I don't think it's that one with the great big mean teeth and shark fin on top,"" the rookie fisherman says. ""That's not Mullet, is it?"""
98,BLAST,BLAST card image,Card-Jitsu Cards full 98,Fire,Burbank 8,Red,2,"""Dude. Soooo love the shades. They make me even stronger and more silent. Maybe later we can hang out and I'll eat a Puffle O to entertain 'ya."""
99,FLARE,FLARE card image,Card-Jitsu Cards full 99,Fire,Burbank 7,Orange,2,"""You think this is fast? You should see how I move when I get shot from a cannon! It's a riot! And I think, actually, it increases happiness."""
100,CHIRP,CHIRP card image,Card-Jitsu Cards full 100,Snow,Burbank 6,Yellow,2,"""Paints, creativity, and music,"" Chirp replies with whimsy. ""Mix those together and you got a masterpiece, my friends, a masterpiece!"""
101,POP,POP card image,Card-Jitsu Cards full 101,Water,Burbank 5,Purple,2,"""I love bubbles! They're beautiful to blow. Bouncy. Breathtaking. Transparent perfection, I say!"""
102,LOOP,LOOP card image,Card-Jitsu Cards full 102,Fire,Burbank 7,Orange,2,"""Hmm... I wonder if my lasso would work the same under water. I mean, it'd be super cool to see if I could round up some pearls , wouldn't it?"
103,FLIT,FLIT card image,Card-Jitsu Cards full 103,Snow,Burbank 6,Green,2,"""Um, nope! Can't touch this propeller hat,"" Flit laughs loudly. ""It takes tons of practice... Even I need it! Recall Christmas 2008 when I got stuck sideways in a tree ?!"""
104,BOUNCER,BOUNCER card image,Card-Jitsu Cards full 104,Water,Burbank 5,Blue,2,"""It's so cool to bounce around like my ball,"" he declares. ""By the way... it rolled under a ginormous pile of snow and though I'm small, round and can roll, I'm a bit too puffy. Can you help?"""
105,ED MCCOOL AND DESTRUCTO,ED MCCOOL AND DESTRUCTO card image,Card-Jitsu Cards full 105,Fire,Burbank 4,Blue,2,"""Dear Gary, met two very talented puffles on an important PSA mission today. Will have to keep a look out for them in the future. They may be useful someday..."""
106,NIBLET,NIBLET card image,Card-Jitsu Cards full 106,Water,Burbank 2,Green,2,"""From this snowman emerges the almighty Niblet, the might green puffle! He's been trying to become a white puffle by hiding in the snow."""
107,SNOWY NIGHT,SNOWY NIGHT card image,Card-Jitsu Cards full 107,Snow,Burbank 3,Purple,2,Penguins and puffles never get tired of the snow falling in Club Penguin. Best friends like to take some timeout from their busy life to watch it fall together.
108,PUFFLES ON THE LOOSE,PUFFLES ON THE LOOSE card image,Card-Jitsu Cards full 108,Fire,Burbank 4,Green,2,"Sometimes rounding up puffles feels a little like chasing a rainbow. Lots of colors, but the closer you get the farther away it seems."
109,CADENCE AND THE KEEPER,CADENCE AND THE KEEPER card image,Card-Jitsu Cards full 109,Water,Burbank 3,Green,2,"""Yeah, this little green guy is an epic win,"" Cadence grinned. ""He's got all the right moves. He usually knows where the party's at. He's definitely a Keeper, lolz!"""
110,GOLDEN PUFFLE,GOLDEN PUFFLE card image,Card-Jitsu Cards full 110,Snow,Burbank 2,Yellow,2,"Such a popular myth, they made a Stage play about it. Does this puffle really live under the 'berg?"
111,METEOR PUFFLE,METEOR PUFFLE card image,Card-Jitsu Cards full 111,Fire,Burbank 5,Red,2,"Swoosh, the mysterious meteor puffle flies through the air with the greatest of ease..."
112,RAINBOW PUFFLE,RAINBOW PUFFLE card image,Card-Jitsu Cards full 112,Water,Burbank 4,Purple,2,"A multi-colored legend, or just a creative little yellow puffle who has been playing with paint?"
113,ABOMINABLE SNOW PUFFLE,ABOMINABLE SNOW PUFFLE card image,Card-Jitsu Cards full 113,Snow,Burbank 3,Orange,2,"""I'm telling ya, it was huge! Twice the size of a penguin and it had claws like a crab . I was shaking in my snow boots!"""
201,Club Penguin Times,Club Penguin Times card image,Card-Jitsu Cards full 201,Fire,Burbank 2,Blue,3,"""Extra! Extra! Every Thursday the Club Penguin Times delivers the latest scoop on everything that's happening on the island. From fun art to stories to games, there's something new every week!"""
202,Can of Worms,Can of Worms card image,Card-Jitsu Cards full 202,Fire,Burbank 3,Blue,3,Anyone who's planning to go ice fishing behind the Ski Lodge needs a can of worms. Having this squirmy bait ready is the first step to catching a fishy treat.
203,Winter Fiesta Party,Winter Fiesta Party card image,Card-Jitsu Cards full 203,Fire,Burbank 4,Purple,3,"""I was at the first Winter Fiesta way back in 2007,"" she explained. ""I missed the one in 2008 , so I was totally stoked to see it again in 2009 !"
204,Invisible Ninja Suit,Invisible Ninja Suit card image,Card-Jitsu Cards full 204,Fire,Burbank 5,Orange,3,"""The Invisibility Suit is one of the tools of the ninja. Available only from the Martial Artworks store, it allows ninja to vanish into the shadows. Useful AND cool."""
205,Penguin Mail,Penguin Mail card image,Card-Jitsu Cards full 205,Fire,Burbank 6,Red,3,"Through rain, sleet, and snow, the Penguin Mail will always get through. But mostly through snow... and actually they've never seen rain, but still."
206,Bumble Bee,Bumble Bee card image,Card-Jitsu Cards full 206,Fire,Burbank 6,Yellow,3,"""This is my favorite Halloween costume, the Bumble Bee! I picked this one up last year when they were on sale at the Gift Shop ."""
207,Pizzatron 3000,Pizzatron 3000 card image,Card-Jitsu Cards full 207,Fire,Burbank 7,Orange,3,Making pizzas in the Pizza Parlor can be tricky. Chefs need a steady hand and concentration of steel to prepare pizza pies perfectly for all their hungry costumers!
208,Card-Jitsu,Card-Jitsu card image,Card-Jitsu Cards full 208,Fire,Burbank 8,Red,3,"To become a ninja, one must first learn to master the elements. It all begins with Card-Jitsu, and this card you hold in your hand . Proceed to the Dojo, and take your first step on a legendary path..."
209,Adopt-A-Puffle,Adopt-A-Puffle card image,Card-Jitsu Cards full 209,Snow,Burbank 4,Blue,3,Puffles are the cute little furballs you see penguins waddling around with next to them. You can even take them into games like Aqua Grabber ! Drop by the Pet Shop in the Plaza to adopt one of your very own.
210,Rock & Roll Suit,Rock & Roll Suit card image,Card-Jitsu Cards full 210,Snow,Burbank 4,Orange,3,"This trendy outfit is popular for its sparkle and ""pizzazz!"" It was first released in the Gift Shop, just before Music Jam '08 , one of the biggest parties of the year."
211,Construction,Construction card image,Card-Jitsu Cards full 211,Snow,Burbank 5,Purple,3,"""There's construction going on all over the place in Club Penguin all the time. Penguins on the island love to build and create, so construction is a pretty popular job around here!"
212,Hidden Pins,Hidden Pins card image,Card-Jitsu Cards full 212,Snow,Burbank 6,Green,3,"""These charming, limited edition collector's items are a must have for any treasure hunter... a brand new one is hidden every two weeks somewhere on the island!"""
213,Treasure Hunt Game,Treasure Hunt Game card image,Card-Jitsu Cards full 213,Snow,Burbank 7,Yellow,3,"""Rockhopper's Treasure Hunt game is kinda rare. You can only play it when his ship, the Migrator, is docked on the Beach. Remember, you need his key from that book to get into the Quarters on the ship."
214,DJ3K,DJ3K card image,Card-Jitsu Cards full 214,Snow,Burbank 8,Green,3,"DJ3K at the Night Club is a music-makin' penguin's favorite game. ""It's simple, yo. Just start pushin' buttons and the groove kicks in. Every good beat needs a little cowbell, so I like to mix that into my sets."""
215,Surf Boards,Surf Boards card image,Card-Jitsu Cards full 215,Water,Burbank 2,Green,3,"""The only thing you need to 'catch some waves' down at the Cove; penguins can borrow a board or buy their own at the Surf Shack. Then they just need to catch a 'gnarly' wave and 'hang ten!'"""
216,Beach Chair Chilling,Beach Chair Chilling card image,Card-Jitsu Cards full 216,Water,Burbank 3,Green,3,"""Chilling out"" at the Beach is even easier when the beach is made of snow. Sun glasses are optional, but you add that touch of ""cool"" while you ""chill."""
217,Telescope,Telescope card image,Card-Jitsu Cards full 217,Water,Burbank 4,Red,3,"""If you look through the telescope at the Beacon, you can see all the way out to sea. It's a good place to keep a close eye out for Rockhopper."""
218,Fish Costume,Fish Costume card image,Card-Jitsu Cards full 218,Water,Burbank 4,Yellow,3,"""Don't give me that look..."" said the penguin. ""It's just a costume. I'm trying to get a part in a play at the Stage, and I need expert advice. Now are you going to help me or not?"""
219,Crow's Nest,Crow's Nest card image,Card-Jitsu Cards full 219,Water,Burbank 5,Orange,3,"Yarr's favorite place on the Migrator is up in the Crow's Net. You can see for miles, and take out any rogue icebergs with the ship's snowball cannon."
220,The Cove,The Cove card image,Card-Jitsu Cards full 220,Water,Burbank 6,Blue,3,"""Other penguins like to come to the Cove to surf, but I just love to gaze out at the water. I was the first one to spot a huge storm one time through the binoculars ! The ocean can tell you a lot."""
221,Captain's Quarters,Captain's Quarters card image,Card-Jitsu Cards full 221,Water,Burbank 6,Orange,3,"""Rockhopper used to keep his quarters locked,"" the tour guide says. ""But now you just need to find his key to get in..."""
222,Iceberg,Iceberg card image,Card-Jitsu Cards full 222,Water,Burbank 8,Blue,3,"""If we tipped this over, what do you think we'd find on the other side?"" one penguin inquires. ""It's the biggest mystery of all,"" they replied. ""We've got to find a way to tip it."
223,The Lounge,The Lounge card image,Card-Jitsu Cards full 223,Fire,Burbank 3,Purple,3,"The Lounge is located upstairs from the Night Club, and it's the perfect place to ""chill"" and play arcade games. Can you master the tricky ""Thin Ice"" or pilot the ""Astro Barrier"" to victory?"
224,Rockhopper's Key,Rockhopper's Key card image,Card-Jitsu Cards full 224,Fire,Burbank 4,Green,3,"""Arr! Ye be needin' this special key to get into me Captain's Quarters on me good ship the Migrator!"" Rockhopper chuckled. ""I hid it somewhere on the island. Ye might want to ""book"" some time to find it..."""
225,Penguins That Time Forgot [2],Penguins That Time Forgot card image (ID 225),Card-Jitsu Cards full 225,Fire,Burbank 5,Yellow,3,"""Dinosaurs, lava, time-traveling... this was one of my favorite plays,"" she explained. ""Watch this, I'll be a cave penguin... 'GRUB! FIRE ROAST MARSHMALLOW!'"""
226,Team Blue Rally,Team Blue Rally card image,Card-Jitsu Cards full 226,Fire,Burbank 6,Orange,3,"Rallying at the Stage for epic competitions, the Red Team and Blue Team wrote another chapter of their rivalry with the introduction of their moose mascots."
227,Jet Pack Adventure,Jet Pack Adventure card image,Card-Jitsu Cards full 227,Fire,Burbank 7,Red,3,"""For those looking to experience the thrill of flying, look no further than Jet Pack Adventure,"" said the Tour Guide. ""Just head to the top of the Lighthouse, strap on a pack, and take off! Parachutes provided!"""
228,Ruby and the Ruby,Ruby and the Ruby card image,Card-Jitsu Cards full 228,Snow,Burbank 2,Red,3,"""See, here's the shimmy – this classy lady named Ruby had lost her ruby . A victim of poetic irony, I know. She needed my help, and she needed it fast..."" - Jacques Hammer"
229,Snowball Fight,Snowball Fight card image,Card-Jitsu Cards full 229,Snow,Burbank 3,Orange,3,"Snowballs can be used for all types of purposes, from snowball fights to tennis matches. ""I like to throw rapid-fire by hitting 'T' on my keyboard constantly. TURBO THROW!"""
230,Snowball Press,Snowball Press card image,Card-Jitsu Cards full 230,Snow,Burbank 5,Purple,3,"""The Snowball Press publishes all the great books Club Penguin has to offer, like Rockhopper's Journal and Penguin Tales . Check 'em out in the room above the Coffee Shop. Remember: every word counts!"""
231,Music Jam,Music Jam card image (ID 231),Card-Jitsu Cards full 231,Snow,Burbank 6,Yellow,3,"""I love a good music festival,"" he responded. ""Music Jam 2008 was probably my favorite party. I finally got to meet Penguin Band, and DJ3K came out for the first time!"""
